OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
19708,2017,Multifamily HR (10+),High-Rise Multifamily,Bay Vista,2821 2nd Ave,98121.0,7.0,DOWNTOWN,47.61706,-122.35141,1982,24,1.0,167941,0,0.0,100.0,18.4,18.0,53.7,52.3,2555683,2497668,0,2279571,668104,2761,276111,24.1,0.143
19709,2017,Multifamily LR (1-4),Low-Rise Multifamily,Bayshore West,1526 Alki Avenue SW,98116.0,1.0,SOUTHWEST,47.58998,-122.39312,1986,4,1.0,38970,0,0.0,94.0,20.4,20.4,64.1,64.1,794958,795313,0,794958,232988,0,0,3.29,0.084
19712,2017,Multifamily MR (5-9),Mid-Rise Multifamily,(ID19712) Bayview Ballard,2250 NW 58th Street,98107.0,6.0,BALLARD,47.67113,-122.38687,1989,5,1.0,24648,0,0.0,94.0,23.3,23.1,73.3,72.4,575187,568425,0,575187,168577,0,0,2.38,0.097
19715,2017,Multifamily LR (1-4),Low-Rise Multifamily,Baywatch at Magnolia,2200 Thorndyke Ave W,98199.0,7.0,MAGNOLIA / QUEEN ANNE,47.63854,-122.38733,1988,4,1.0,34270,0,0.0,49.0,33.4,32.9,104.8,103.4,705583,695739,0,705583,206794,0,0,2.92,0.085
19718,2017,Multifamily LR (1-4),Low-Rise Multifamily,Beach Drive,4163 Beach DR SW,98116.0,1.0,SOUTHWEST,47.56586,-122.40854,1984,4,1.0,20837,0,0.0,,19.3,19.1,60.5,60.1,401173,398983,0,401173,117577,0,0,1.66,0.08
19728,2017,SPS-District K-12,K-12 School,Daniel Bagley Elementary,7821 Stone Ave. N.,98103.0,6.0,NORTHWEST,47.68636,-122.3423,1930,2,1.0,47602,0,0.0,74.0,56.6,55.5,95.1,94.0,2627435,2580047,0,793821,232655,18336,1833614,100.67,2.115
19730,2017,NonResidential,Other,Brick Building,6615 Dayton Ave North,98013.0,6.0,NORTHWEST,47.67713,-122.35398,1917,2,1.0,28072,0,0.0,,64.3,63.6,84.7,83.9,1532163,1514745,0,196133,57483,13360,1336029,71.77,2.557
19736,2017,Multifamily LR (1-4),Low-Rise Multifamily,Belcourt Place,1617 Summit AVE,98122.0,3.0,EAST,47.61564,-122.32592,1986,4,1.0,24864,0,0.0,50.0,25.5,25.0,80.2,78.6,634882,622059,0,634882,186073,0,0,2.63,0.106
19740,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Ellis Court Apartments,3510 Western Ave,98121.0,7.0,DOWNTOWN,47.61453,-122.34969,1990,5,1.0,39050,0,0.0,99.0,31.9,31.9,100.0,100.0,961901,961901,0,961900,281917,0,0,3.98,0.102
19741,2017,Multifamily MR (5-9),Mid-Rise Multifamily,First and Vine Apartments,2519 First Ave,98121.0,7.0,DOWNTOWN,47.61492,-122.34957,1980,8,0.0,77800,0,0.0,22.0,66.7,65.9,179.0,176.4,3088252,3049976,0,2414157,707549,6740,674095,45.79,0.589
