OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
49718,2016,Nonresidential COS,Other,South Transfer Station,130 South Kenyon St.,98108.0,1,GREATER DUWAMISH,47.53246,-122.33304,2012,2,2.0,137138,0,,,39.5,40.20000076,124.0,126.3000031,5475367,5574345,0.0,5475366,1604738.125,0.0,0,38.17,0.28
49719,2016,Multifamily LR (1-4),Low-Rise Multifamily,SEVEN HILLS APTS (ID49719),1919 QUEEN ANNE AVE N,98109.0,7,MAGNOLIA / QUEEN ANNE,47.63662,-122.35738,2012,4,1.0,74964,0,,83.0,49.79999924,49.79999924,92.59999847,92.59999847,2277238,2277238,0.0,881517,258357.9063,13957.21094,1395721,80.27,1.07
49721,2016,Multifamily LR (1-4),Low-Rise Multifamily,WEST NEWTON FLATS (ID49721),2311 W NEWTON ST,98199.0,7,MAGNOLIA / QUEEN ANNE,47.63683,-122.38658,2012,3,1.0,21753,0,,33.0,40.0,43.09999847,111.0999985,117.0999985,836437,900955,0.0,690538,202385.0,1458.999878,145900,12.56,0.58
49722,2016,Multifamily MR (5-9),Mid-Rise Multifamily,53444 - Nova Apartments,4600 36th Avenue SW,98126.0,1,SOUTHWEST,47.56189,-122.37706,2012,5,1.0,59205,0,,94.0,33.5,34.90000153,81.40000153,85.09999847,1721433,1797357,0.0,1137957,333516.1875,5834.760254,583476,38.92,0.66
49725,2016,NonResidential,Other,VM Seattle Hospital & Medical Center - Jones Pavilion,1010 Spring St,98101.0,3,EAST,47.60989,-122.32659,2012,7,1.0,267470,0,,,159.1999969,159.6999969,363.7000122,361.3999939,42584028,42715544,18547858.0,23795911,6974182.5,0.0,0,1597.56,5.97
49728,2016,Multifamily HR (10+),High-Rise Multifamily,Via6 - Residential (EPL),2121 6th Avenue,98121.0,7,DOWNTOWN,47.61531,-122.34041,2012,24,1.0,602398,0,,73.0,34.5,35.59999847,85.80000305,88.19999695,25397086,26200772,0.0,17471240,5120527.5,79258.4375,7925844,542.74,0.9
49729,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Oakwood SeattleSouth LakeUnion (Hue),717 Dexter Ave North,98109.0,7,MAGNOLIA / QUEEN ANNE,47.626,-122.34278,2012,7,0.0,119219,0,,99.0,23.20000076,24.89999962,50.29999924,53.90000153,3063969,3288605,0.0,1637387,479890.8125,14265.82031,1426582,87.18,0.73
49730,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Union at South Lake Union (Municipal Benchmarking Account,905 Dexter Ave North,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62736,-122.34264,2012,7,1.0,334785,0,20162015,95.0,37.5,39.5,79.40000153,81.5,9722237,10233810,0.0,4958421,1453230.0,47638.16016,4763816,287.57,0.86
49731,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Muriel's Landing,5240 UNIVERSITY WAY NE,98105.0,4,NORTHEAST,47.66761,-122.31272,2012,7,1.0,74421,0,,35.0,61.90000153,63.29999924,138.8999939,141.8999939,3720750,3800515,0.0,2123094,622243.375,15976.55957,1597656,99.65,1.34
49732,2016,NonResidential,Hospital,Seattle Children's Hospital Building Hope,4500 40th Ave NE,98145.0,4,NORTHEAST,47.66201,-122.28386,2013,8,1.0,330000,0,,58.0,239.1999969,239.1999969,490.8999939,490.8999939,57764408,57764408,0.0,27703081,8119308.5,300613.25,30061325,1789.69,5.42
49733,2016,Multifamily HR (10+),High-Rise Multifamily,The Post,888 Western Avenue,98104.0,7,DOWNTOWN,47.60336,-122.33615,2013,16,1.0,194228,73392,,62.0,39.79999924,40.0,110.0,110.1999969,8066399,8101542,0.0,6616178,1939091.0,14502.2002,1450220,123.15,0.63
49734,2016,Multifamily LR (1-4),Low-Rise Multifamily,Collage Apartments,3606 Woodland Park Ave North,98103.0,4,LAKE UNION,47.65082,-122.34348,2012,4,1.0,31962,0,,92.0,33.40000153,34.29999924,104.8000031,107.8000031,994194,1022276,0.0,994195,291381.8125,0.0,0,6.93,0.22
49735,2016,Multifamily LR (1-4),Low-Rise Multifamily,Aurora House,10507 Aurora Ave. N.,98133.0,5,NORTHWEST,47.70539,-122.34508,2012,4,1.0,54771,0,,97.0,23.39999962,23.39999962,73.30000305,73.30000305,1228963,1228963,0.0,1227193,359669.5938,17.70999908,1771,8.65,0.16
49736,2016,Multifamily LR (1-4),Low-Rise Multifamily,Cottage Grove Commons,5444 Delridge Way SW,98106.0,1,DELRIDGE,47.55238,-122.36266,2013,4,1.0,27950,0,,42.0,80.30000305,85.40000153,158.6999969,164.1000061,2245568,2388272,0.0,994151,291369.0,12514.16895,1251417,73.39,2.63
49737,2016,NonResidential,Retail Store,MARQUEEN / MQH,600 Queen Anne Ave N,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62503,-122.35642,1918,3,1.0,43832,0,,67.0,92.19999695,96.90000153,163.5,165.8999939,3886545,4085534,0.0,1343774,393837.5,25427.71094,2542771,144.41,3.29
49738,2016,NonResidential,Other,Jefferson Square SWAS1490/,42nd Ave. SW and SW Alaska St.,98116.0,1,SOUTHWEST,47.5596,-122.38459,1987,6,1.0,146363,0,,,80.09999847,83.0,176.1000061,177.8999939,11730555,12145596,0.0,6438541,1887028.375,52920.12891,5292013,325.94,2.23
49739,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Williams Apartments,219 Pontius Ave. N,98109.0,7,LAKE UNION,47.62023,-122.33227,2013,6,1.0,41502,0,,82.0,51.59999847,55.70000076,98.0,102.4000015,2227908,2406215,0.0,906430,265659.3125,13214.79004,1321479,76.5,1.84
49767,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Pine + Minor,1551 Minor Ave,98101.0,7,EAST,47.61449,-122.3287,2013,7,1.0,88974,3202,,94.0,28.89999962,30.0,72.80000305,76.0,2599171,2691752,0.0,1820717,533621.5,7784.549805,778455,54.04,0.61
49771,2016,Multifamily MR (5-9),Senior Care Community,Interurban Senior Living,14002 linden Ave N,98133.0,5,NORTHWEST,47.73074,-122.34723,2012,7,1.0,120000,0,,100.0,42.09999847,44.29999924,99.40000153,103.9000015,5053635,5313724,0.0,3165420,927731.5,18882.15039,1888215,122.35,1.02
49772,2016,Multifamily LR (1-4),Low-Rise Multifamily,708 Uptown (Seattle) - Municipal Benchmarking,708 6th Ave N,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62574,-122.34462,2013,4,1.0,108872,0,20152014,85.0,28.20000076,30.10000038,88.09999847,94.0,2435382,2595029,0.0,2412696,707120.8125,0.0,0,16.82,0.15
